route_id,direction_id,direction,direction_destination
Shuttle-AndersonWoburnNorthStation,0,Outbound,Lowell
Shuttle-AndersonWoburnNorthStation,1,Inbound,North Station
Shuttle-AshmontJFK,0,Outbound,Ashmont
Shuttle-AshmontJFK,1,Inbound,Alewife
Shuttle-AshmontMattapan,0,Outbound,Mattapan
Shuttle-AshmontMattapan,1,Inbound,Ashmont
Shuttle-AshmontMattapanAllStops,0,Outbound,Mattapan
Shuttle-AshmontMattapanAllStops,1,Inbound,Ashmont
Shuttle-BabcockBlandford,0,West,Boston College
Shuttle-BabcockBlandford,1,East,Park Street
Shuttle-BabcockBostonCollege,0,West,Boston College
Shuttle-BabcockBostonCollege,1,East,Park Street
Shuttle-BackBayJackson,0,South,Forest Hills
Shuttle-BackBayJackson,1,North,Oak Grove
Shuttle-BackBayRuggles,0,South,Forest Hills
Shuttle-BackBayRuggles,1,North,Oak Grove
Shuttle-BallardvaleMaldenCenter,0,Outbound,Haverhill
Shuttle-BallardvaleMaldenCenter,1,Inbound,North Station
Shuttle-BeaconJunctionLoop,0,West,Cleveland Circle/Riverside
Shuttle-BeaconJunctionLoop,1,East,North Station
Shuttle-BlandfordBostonCollege,0,West,Boston College
Shuttle-BlandfordBostonCollege,1,East,Park Street
Shuttle-BlandfordWashington,0,West,Boston College
Shuttle-BlandfordWashington,1,East,Park Street
Shuttle-BostonCollegePackardsCorner,0,West,Boston College
Shuttle-BostonCollegePackardsCorner,1,East,Park Street
Shuttle-BostonCollegeWashington,0,West,Boston College
Shuttle-BostonCollegeWashington,1,East,Park Street
Shuttle-BraintreeNorthQuincy,0,South,Braintree
Shuttle-BraintreeNorthQuincy,1,North,Alewife
Shuttle-BraintreeQuincyCenter,0,South,Braintree
Shuttle-BraintreeQuincyCenter,1,North,Alewife
Shuttle-BroadwayKendall,0,South,Ashmont/Braintree
Shuttle-BroadwayKendall,1,North,Alewife
Shuttle-BroadwayKendallOmitDTX,0,South,Ashmont/Braintree
Shuttle-BroadwayKendallOmitDTX,1,North,Alewife
Shuttle-BrooklineHillsKenmore,0,West,Riverside
Shuttle-BrooklineHillsKenmore,1,East,Government Center
Shuttle-BrooklineHillsNewtonHighlands,0,West,Riverside
Shuttle-BrooklineHillsNewtonHighlands,1,East,Government Center
Shuttle-BrooklineHillsReservoir,0,West,Riverside
Shuttle-BrooklineHillsReservoir,1,East,Government Center
Shuttle-CapenCentral,0,Outbound,Capen Street
Shuttle-CapenCentral,1,Inbound,Ashmont/Mattapan
Shuttle-ClevelandCircleKenmore,0,West,Cleveland Circle
Shuttle-ClevelandCircleKenmore,1,East,North Station
Shuttle-ClevelandCircleStMarys,0,West,Cleveland Circle
Shuttle-ClevelandCircleStMarys,1,East,North Station
Shuttle-FenwayNewtonHighlands,0,West,Riverside
Shuttle-FenwayNewtonHighlands,1,East,Government Center
Shuttle-FenwayReservoir,0,West,Riverside
Shuttle-FenwayReservoir,1,East,Government Center
Shuttle-ForestHillsJackson,0,South,Forest Hills
Shuttle-ForestHillsJackson,1,North,Oak Grove
Shuttle-ForestHillsRuggles,0,South,Forest Hills
Shuttle-ForestHillsRuggles,1,North,Oak Grove
Shuttle-ForgeParkReadville,0,Outbound,Forge Park/495
Shuttle-ForgeParkReadville,1,Inbound,South Station
Shuttle-ForgeParkSouthStation,0,Outbound,Forge Park/495
Shuttle-ForgeParkSouthStation,1,Inbound,South Station
Shuttle-FraminghamRiverside,0,Outbound,Worcester
Shuttle-FraminghamRiverside,1,Inbound,South Station
Shuttle-FraminghamWorcester,0,Outbound,"Southborough, Grafton, or Worcester"
Shuttle-FraminghamWorcester,1,Inbound,South Station
Shuttle-GreenbushSouthStation,0,Outbound,Greenbush
Shuttle-GreenbushSouthStation,1,Inbound,South Station
Shuttle-HaymarketSullivan,0,South,Forest Hills
Shuttle-HaymarketSullivan,1,North,Oak Grove
Shuttle-KendallPark,0,South,Ashmont/Braintree
Shuttle-KendallPark,1,North,Alewife
Shuttle-KenmoreReservoir,0,West,Riverside
Shuttle-KenmoreReservoir,1,East,Government Center
Shuttle-KenmoreStMarysNotFenway,0,West,Cleveland Circle
Shuttle-KenmoreStMarysNotFenway,1,East,North Station
Shuttle-LittletonWachusett,0,Outbound,Wachusett
Shuttle-LittletonWachusett,1,Inbound,North Station
Shuttle-LowellWellington,0,Outbound,Lowell
Shuttle-LowellWellington,1,Inbound,North Station
Shuttle-NewtonHighlandsKenmore,0,West,Riverside
Shuttle-NewtonHighlandsKenmore,1,East,Government Center
Shuttle-NewtonHighlandsRiverside,0,West,Riverside
Shuttle-NewtonHighlandsRiverside,1,East,Government Center
Shuttle-NorthQuincyQuincyCenter,0,South,Braintree
Shuttle-NorthQuincyQuincyCenter,1,North,Alewife
Shuttle-NorthStationWestMedford,0,Outbound,Lowell
Shuttle-NorthStationWestMedford,1,Inbound,North Station
Shuttle-OakGroveSullivan,0,South,Forest Hills
Shuttle-OakGroveSullivan,1,North,Oak Grove
Shuttle-OakGroveWellington,0,South,Forest Hills
Shuttle-OakGroveWellington,1,North,Oak Grove
Shuttle-OrientHeightsWonderland,0,South,Bowdoin
Shuttle-OrientHeightsWonderland,1,North,Wonderland
Shuttle-ReservoirRiverside,0,West,Riverside
Shuttle-ReservoirRiverside,1,East,Government Center
Shuttle-RugglesSullivan,0,South,Forest Hills
Shuttle-RugglesSullivan,1,North,Oak Grove
Shuttle-SuffolkDownsWonderland,0,South,Bowdoin
Shuttle-SuffolkDownsWonderland,1,North,Wonderland
